"Titolo","Rivista","Data"
"[The intensity of COVID-19 outbreaks is modulated by SARS-CoV-2 free-living survival and environmental transmission](https://doi.org/10.1101/2020.05.04.20090092)","medRxiv","2020-05-09"
"[The psychological impact of COVID-19 on medical care workers in China](https://doi.org/10.21203/rs.3.rs-26661/v1)","Research Square","2020-05-09"
"[The relatively young and rural population may limit the spread and severity of Covid-19 in Africa: a modelling study](https://doi.org/10.1101/2020.05.03.20089532)","medRxiv","2020-05-09"
"[The transcriptomic profiling of COVID-19 compared to SARS, MERS, Ebola, and H1N1](https://doi.org/10.1101/2020.05.06.080960)","bioRxiv","2020-05-10"
"[Training deep learning algorithms with weakly labeled pneumonia chest X-ray data for COVID-19 detection](https://doi.org/10.1101/2020.05.04.20090803)","medRxiv","2020-05-10"
"[Tripartite combination of potential pandemic mitigation agents: Vitamin D, Quercetin, and Estradiol manifest properties of candidate medicinal agents for mitigation of the severity of pandemic COVID-19 defined by genomics-guided tracing of SARS-CoV-2 targets in human cells.](https://doi.org/10.26434/chemrxiv.12052512.v10)","ChemRxiv","2020-05-09"
"[Vitamin C for the treatment of COVID-19: A living systematic review](https://doi.org/10.1101/2020.04.28.20083360)","medRxiv","2020-05-09"
"[Weather Conditions and COVID-19 Transmission: Estimates and Projections](https://doi.org/10.1101/2020.05.05.20092627)","medRxiv","2020-05-10"
"[What We Do Not Know about COVID-19 and Social Distancing](https://doi.org/10.20944/preprints202005.0045.v2)","Preprints.org","2020-05-09"
"[Whole genome sequencing and phylogenetic analysis of SARS-CoV-2 strains from the index and early patients with COVID-19 in Dubai, United Arab Emirates, 29 January to 18 March 2020](https://doi.org/10.1101/2020.05.06.080606)","bioRxiv","2020-05-10"
"[﻿Trend Analysis Modelling and Prediction of Epidemic COVID-19 for US, Italy, Spain and Pakistan](https://doi.org/10.21203/rs.3.rs-27320/v1)","Research Square","2020-05-09"
"[3d Printing Technology and Internet of Things Prototyping in Family Practice: Building Pulsoximeters during COVID-19 Pandemic](https://doi.org/10.20944/preprints202005.0163.v1)","Preprints.org","2020-05-12"
"[<strong>Effect of COVID-19 on the Indian Economy </strong><strong>a</strong><strong>nd Supply Chain</strong>](https://doi.org/10.20944/preprints202005.0148.v1)","Preprints.org","2020-05-12"
"[A Clinical Multi-center Study of Pregnant Women with COVID-19 in Hubei, China](https://doi.org/10.21203/rs.3.rs-27398/v1)","Research Square","2020-05-10"
"[A Computational Model for Estimating the Evolution of COVID-19 in Rondônia-Brazil](https://doi.org/10.1101/2020.05.05.20091942)","medRxiv","2020-05-10"
"[A Divide and Conquer Strategy against the Covid-19 Pandemic?!](https://doi.org/10.1101/2020.05.05.20092155)","medRxiv","2020-05-10"
"[A sub-national analysis of the rate of transmission of COVID-19 in Italy](https://doi.org/10.1101/2020.05.05.20089359)","medRxiv","2020-05-10"
"[Analysis of the full genome sequences of SARS-CoV-2 isolates to determine antigenic proteins and epitopes to be used for the development of a vaccine or a diagnostic approach for COVID-19](https://doi.org/10.21203/rs.3.rs-28142/v1)","Research Square","2020-05-10"
"[Anxiety and Depression in Health Workers and General Population During COVID-19 Epidemic in IRAN: A Web-Based Cross-Sectional Study](https://doi.org/10.1101/2020.05.05.20089292)","medRxiv","2020-05-10"
"[Are Vapers More Susceptible to COVID-19 Infection?](https://doi.org/10.1101/2020.05.05.20092379)","medRxiv","2020-05-10"
"[Awareness, knowledge, attitude and practice towards measures for prevention of the spread of COVID-19 in the Ugandans: A nationwide online cross-sectional Survey](https://doi.org/10.1101/2020.05.05.20092247)","medRxiv","2020-05-10"
"[BCG vaccine-induced protection from COVID-19 infection, wishful thinking or a game changer?](https://doi.org/10.1101/2020.05.05.20091975)","medRxiv","2020-05-10"
"[COVID-19 Induced Anxiety and Protective Behaviors During COVID-19 Outbreak: Scale Development and Validation](https://doi.org/10.1101/2020.05.05.20050419)","medRxiv","2020-05-10"
"[COVID-19 and Kawasaki Like Disease: The Known-Known, the Unknown-Known and the Unknown-Unknown](https://doi.org/10.20944/preprints202005.0160.v1)","Preprints.org","2020-05-12"
"[COVID-19: In the Eye of the Cytokine Storm](https://doi.org/10.20944/preprints202005.0157.v1)","Preprints.org","2020-05-12"
"[COVID-DenseNet: A Deep Learning Architecture to Detect COVID-19 from Chest Radiology Images](https://doi.org/10.20944/preprints202005.0151.v1)","Preprints.org","2020-05-12"
"[Clinical onset serial interval and diagnostic serial interval of SARS-CoV-2/COVID-19 in South Korea](https://doi.org/10.1101/2020.05.05.20070946)","medRxiv","2020-05-10"
"[Comparisons of chest computed tomography patterns between survivors and non-survivors with Coronavirus Disease 2019 (COVID-19): a case-control study](https://doi.org/10.21203/rs.3.rs-27399/v1)","Research Square","2020-05-10"
"[Comprehensive Testing Highlights Racial, Ethnic, and Age Disparities in the COVID-19 Outbreak](https://doi.org/10.1101/2020.05.05.20092031)","medRxiv","2020-05-10"
"[Containing Covid-19 outbreaks with spatiallytargeted short-term lockdowns and mass-testing](https://doi.org/10.1101/2020.05.05.20092221)","medRxiv","2020-05-10"
"[County-level factors influence the trajectory of Covid-19 incidence](https://doi.org/10.1101/2020.05.05.20092254)","medRxiv","2020-05-10"
"[Disrupted Rhythms of Life, Work and Entertainment Behaviours and Their Associations with Mental Health Problems under the Stress of COVID-19 Epidemic: A Survey in 5854 Chinese People with Different Backgrounds](https://doi.org/10.21203/rs.3.rs-27400/v1)","Research Square","2020-05-10"
"[Dynamic Model of Infected Population Due to Spreading of Pandemic COVID-19 Considering Both Intra and Inter Zone Mobilization Factors with Rate of Detection](https://doi.org/10.21203/rs.3.rs-28125/v1)","Research Square","2020-05-10"
"[Early Hydroxychloroquine Is Associated with an Increase of Survival in COVID-19 Patients: An Observational Study](https://doi.org/10.20944/preprints202005.0057.v2)","Preprints.org","2020-05-12"
"[Elevated RDW is Associated with Increased Mortality Risk in COVID-19](https://doi.org/10.1101/2020.05.05.20091702)","medRxiv","2020-05-10"
"[Epidemic Situation and Forecasting of COVID-19 in Saudi Arabia using the SIR model](https://doi.org/10.1101/2020.05.05.20091520)","medRxiv","2020-05-10"
"[Ethnicity and risk of death in patients hospitalised for COVID-19 infection: an observational cohort study in an urban catchment area](https://doi.org/10.1101/2020.05.05.20092296)","medRxiv","2020-05-10"
"[Flattening COVID-19 Curve in Egypt: An Epidemiological Modelling <strong> </strong>](https://doi.org/10.20944/preprints202005.0156.v1)","Preprints.org","2020-05-12"
"[IKONOS: An intelligent tool to support diagnosis of Covid-19 by texture analysis of x-ray images](https://doi.org/10.1101/2020.05.05.20092346)","medRxiv","2020-05-10"
"[Identification and Analysis of Shared Risk Factors in Sepsis and High Mortality Risk COVID-19 Patients](https://doi.org/10.1101/2020.05.05.20091918)","medRxiv","2020-05-10"
"[Impact of small-area lockdowns for the control of the COVID-19 pandemic](https://doi.org/10.1101/2020.05.05.20092106)","medRxiv","2020-05-10"
"[Indian communitys Knowledge, Attitude & Practice towards COVID-19](https://doi.org/10.1101/2020.05.05.20092122)","medRxiv","2020-05-10"
"[Knowledge, attitude and practice of secondary school students toward COVID-19 epidemic in Italy: a cross selectional study](https://doi.org/10.1101/2020.05.08.084236)","bioRxiv","2020-05-14"
"[Mental Health Impact of COVID-19: A global study of risk and resilience factors](https://doi.org/10.1101/2020.05.05.20092023)","medRxiv","2020-05-10"
"[Myocardial characteristics as the prognosis for COVID-19 patients](https://doi.org/10.1101/2020.05.06.20068882)","medRxiv","2020-05-10"
"[On the impact of early non-pharmaceutical interventions as containment strategies against the COVID-19 pandemic](https://doi.org/10.1101/2020.05.05.20092304)","medRxiv","2020-05-10"
"[PROGNOSTIC FACTORS FOR CLINICAL COURSE OF PATIENTS WITH COVID-19: PROTOCOL FOR A RAPID LIVING SYSTEMATIC REVIEW](https://doi.org/10.1101/2020.05.06.20087692)","medRxiv","2020-05-10"
"[Phasic containment of COVID-19 in substantially affected states of India](https://doi.org/10.1101/2020.05.05.20092130)","medRxiv","2020-05-10"
"[Prediction and Spread Visualization of Covid-19 Pandemic Using Machine Learning](https://doi.org/10.20944/preprints202005.0147.v1)","Preprints.org","2020-05-12"
"[Prevalence and Acceptance of Face Mask Practice among Individuals Visiting Hospital during COVID-19 Pandemic: An Observational Study](https://doi.org/10.20944/preprints202005.0152.v1)","Preprints.org","2020-05-12"
"[Risk Stratification tool for Healthcare workers during the CoViD-19 Pandemic; using published data on demographics, co-morbid disease and clinical domain in order to assign biological risk](https://doi.org/10.1101/2020.05.05.20091967)","medRxiv","2020-05-10"
"[Severe obesity is associated with higher in-hospital mortality in a cohort of patients with COVID-19 in the Bronx, New York](https://doi.org/10.1101/2020.05.05.20091983)","medRxiv","2020-05-10"
"[Social participation and life satisfaction of peoples during the COVID-19 home confinement: the ECLB-COVID19 multicenter study](https://doi.org/10.1101/2020.05.05.20091066)","medRxiv","2020-05-10"
"[The race to find a SARS-CoV-2 drug can only be won by a few chosen drugs: a systematic review of registers of clinical trials of drugs aimed at preventing or treating COVID-19](https://doi.org/10.1101/2020.05.05.20091785)","medRxiv","2020-05-10"
"[To procrastinate or not to procrastinate: the optimal timing of containing the global COVID-19 pandemic spread ](https://doi.org/10.21203/rs.3.rs-28128/v1)","Research Square","2020-05-10"
"[Using viral genomics to estimate undetected infections and extent of superspreading events for COVID-19](https://doi.org/10.1101/2020.05.05.20092098)","medRxiv","2020-05-10"
"[A simple model to fit the time evolution of the daily death rate of Covid-19 in European Union countries](https://doi.org/10.1101/2020.05.06.20093062)","medRxiv","2020-05-11"
"[Age-adjusted associations between comorbidity and outcomes of COVID-19: a review of the evidence](https://doi.org/10.1101/2020.05.06.20093351)","medRxiv","2020-05-11"
"[Angiotensin Converting Enzyme Inhibitors and Angiotensin Receptor Blockers and Outcome of COVID-19 : A Systematic Review and Meta-analysis](https://doi.org/10.1101/2020.05.06.20093260)","medRxiv","2020-05-11"
"[Associations between ambient air pollutants exposure and case fatality rate of COVID-19: a multi-city ecological study in China.](https://doi.org/10.1101/2020.05.06.20088682)","medRxiv","2020-05-11"
"[Bidirectional contact tracing is required for reliable COVID-19 control](https://doi.org/10.1101/2020.05.06.20093369)","medRxiv","2020-05-11"
"[Body Mass Index (BMI) and Coronavirus Disease 2019 (COVID-19): A Living Systematic Review](https://doi.org/10.20944/preprints202005.0166.v1)","Preprints.org","2020-05-12"
"[Characterisation of Acute Kidney Injury in Critically Ill Patients with Severe Coronavirus Disease-2019 (COVID-19)](https://doi.org/10.1101/2020.05.06.20069872)","medRxiv","2020-05-11"
"[Epidemic Peak for COVID-19 in India, 2020](https://doi.org/10.20944/preprints202005.0176.v1)","Preprints.org","2020-05-12"
"[Global epidemiology, pathogenesis, immune response, diagnosis, treatment, economic and psychological impact, challenges, and future prevention of COVID-19: A Scoping review](https://doi.org/10.21203/rs.3.rs-26166/v1)","Research Square","2020-05-11"
"[Influence factors of death risk among COVID-19 patients in Wuhan, China: a hospital-based case-cohort study](https://doi.org/10.21203/rs.3.rs-26775/v1)","Research Square","2020-05-11"
"[Metapopulation modeling of COVID-19 advancing into the countryside: an analysis of mitigation strategies for Brazil](https://doi.org/10.1101/2020.05.06.20093492)","medRxiv","2020-05-11"
"[Mobility Levels and Covid-19 Transmission Rates](https://doi.org/10.1101/2020.05.06.20093039)","medRxiv","2020-05-11"
"[Multiple introductions, regional spread and local differentiation during the first week of COVID-19 epidemic in Montevideo, Uruguay](https://doi.org/10.1101/2020.05.09.086223)","bioRxiv","2020-05-12"
"[Neutrophil calprotectin identifies severe pulmonary disease in COVID-19](https://doi.org/10.1101/2020.05.06.20093070)","medRxiv","2020-05-11"
"[Perceived Stress and Its Impact on Health Behavior of Chinese Residents during the Epidemic of COVID-19: An Internet Survey](https://doi.org/10.21203/rs.3.rs-27180/v1)","Research Square","2020-05-11"
"[Potential modes of COVID-19 transmission from human eye revealed by single-cell atlas](https://doi.org/10.1101/2020.05.09.085613)","bioRxiv","2020-05-12"
"[Prepared and highly committed despite the risk of COVID-19 infection: A cross-sectional survey of primary care physicians' concerns and coping strategies in Singapore](https://doi.org/10.1101/2020.05.06.20093757)","medRxiv","2020-05-11"
"[Rapidly Measuring Spatial Accessibility of COVID-19 Healthcare Resources: A Case Study of Illinois, USA](https://doi.org/10.1101/2020.05.06.20093534)","medRxiv","2020-05-11"
"[Recurrence of SARS-CoV-2 PCR positivity in COVID-19 patients: a single center experience and potential implications](https://doi.org/10.1101/2020.05.06.20089573)","medRxiv","2020-05-11"
"[Smoking Prevalence is Low in Symptomatic Patients Admitted for COVID-19.](https://doi.org/10.1101/2020.05.05.20092015)","medRxiv","2020-05-11"
"[Suppression of Groups Intermingling as Appealing Option For Flattening and Delaying the Epidemiologic Curve While Allowing Economic and Social Life at Bearable Level During COVID-19 Pandemic](https://doi.org/10.1101/2020.05.06.20093310)","medRxiv","2020-05-11"
"[TAMING COVID-19 EPIDEMIC IN SÃO PAULO WITH A LOGISTIC MODEL AND NON-PHARMACEUTICAL MEASURES](https://doi.org/10.1101/2020.05.06.20093666)","medRxiv","2020-05-11"
"[The disease-induced herd immunity level for Covid-19 is substantially lower than the classical herd immunity level](https://doi.org/10.1101/2020.05.06.20093336)","medRxiv","2020-05-11"
"[Who can go back to work when the COVID-19 pandemic remits?](https://doi.org/10.1101/2020.05.06.20093344)","medRxiv","2020-05-11"
"[<strong>Coronavirus (Covid-19): The Lockdown Strategy in Nigeria</strong>](https://doi.org/10.20944/preprints202005.0201.v1)","Preprints.org","2020-05-14"
"[<strong>Epidemiological Characteristics of COVID-19 Patients in Vietnam and a Description of Disease Control and Prevention Measures in Thai Binh Province</strong>](https://doi.org/10.20944/preprints202005.0197.v1)","Preprints.org","2020-05-14"
"[<strong>Why Has COVID-19 Spread More Extensively in Europe than Asia?</strong>](https://doi.org/10.20944/preprints202005.0200.v1)","Preprints.org","2020-05-14"
"[A Mathematical Model Approach for Prevention and Intervention Measures of the COVID-19 Pandemic in Uganda](https://doi.org/10.1101/2020.05.08.20095067)","medRxiv","2020-05-12"
"[A Rapid Decrease in Stroke, Acute Coronary Syndrome, and Corresponding Interventions at 65 United States Hospitals Following Emergence of COVID-19](https://doi.org/10.1101/2020.05.07.20083386)","medRxiv","2020-05-12"
"[A rapid review of available evidence on the serial interval and generation time of COVID-19](https://doi.org/10.1101/2020.05.08.20095075)","medRxiv","2020-05-12"
"[A study on the relationship between BCG vaccination and Covid-19 prevalence: Do other confounders warrant investigation?](https://doi.org/10.1101/2020.05.06.20093138)","medRxiv","2020-05-12"
"[APOE E4 GENOTYPE PREDICTS SEVERE COVID-19 IN THE UK BIOBANK COMMUNITY COHORT](https://doi.org/10.1101/2020.05.07.20094409)","medRxiv","2020-05-12"
"[Added Value of Chest CT in Suspected COVID-19: An Analysis of 239 Patients](https://doi.org/10.20944/preprints202005.0193.v1)","Preprints.org","2020-05-12"
"[Age-stratified model of the COVID-19 epidemic to analyze the impact of relaxing lockdown measures: nowcasting and forecasting for Switzerland](https://doi.org/10.1101/2020.05.08.20095059)","medRxiv","2020-05-12"
"[An Evaluation of COVID-19 in Italy: A data-driven modeling analysis](https://doi.org/10.21203/rs.3.rs-28146/v1)","Research Square","2020-05-12"
"[Analysis of the effects of clinical features, initial imaging findings and the number of days that nucleic acids turned negative: 201 cases of COVID-19 patients](https://doi.org/10.21203/rs.3.rs-26829/v1)","Research Square","2020-05-12"
"[Assessing the Intervention's Effectiveness and Health System Efficiency During COVID-19 Crisis using A Signal-to-Noise Ratio Index](https://doi.org/10.1101/2020.05.07.20094334)","medRxiv","2020-05-12"
"[Associations with covid-19 hospitalisation amongst 406,793 adults: the UK Biobank prospective cohort study](https://doi.org/10.1101/2020.05.06.20092957)","medRxiv","2020-05-12"
"[Awareness of COVID-19 amongst undergraduate dental students in India – A questionnaire based cross-sectional study](https://doi.org/10.21203/rs.3.rs-27183/v1)","Research Square","2020-05-12"
"[COVID-19 diagnosis prediction by symptoms of tested individuals: a machine learning approach](https://doi.org/10.1101/2020.05.07.20093948)","medRxiv","2020-05-12"
"[Case Report: Suspected COVID-19 death in the community - histological lung findings and the challenges faced by the pathologist](https://doi.org/10.12688/f1000research.23629.1)","F1000Res","2020-05-12"
"[Celebrex adjuvant therapy on COVID-19: An experimental study](https://doi.org/10.1101/2020.05.05.20077610)","medRxiv","2020-05-12"
"[Clinical Characteristics of 208 Patients with COVID-19 in a Surrounding City of Wuhan, China](https://doi.org/10.21203/rs.3.rs-23842/v1)","Research Square","2020-05-12"
"[Clinical and CT manifestations of coronavirus disease 2019 (COVID-19): comparison of suspected cases of COVID-19 in isolation and non-COVID-19 pneumonia in a single-center study conducted in Beijing, China](https://doi.org/10.21203/rs.3.rs-27288/v1)","Research Square","2020-05-12"
"[Clinical and behavioural characteristics of self-isolating healthcare workers during the COVID-19 pandemic: a single-centre observational study](https://doi.org/10.1101/2020.05.07.20094177)","medRxiv","2020-05-12"
"[Concerns about disease management and psychological stress in SAPHO patients during the COVID-19 epidemic](https://doi.org/10.1101/2020.05.07.20084087)","medRxiv","2020-05-12"
"[Coronavirus Disease 2019 (COVID-19): An Evidence Map of Medical Literature](https://doi.org/10.1101/2020.05.07.20093674)","medRxiv","2020-05-12"
"[Correlation between lung infection severity and clinical laboratory indicators in patients with COVID-19: A cross-sectional study based on machine learning](https://doi.org/10.21203/rs.3.rs-23270/v1)","Research Square","2020-05-12"
"[Corticosteroid Treatment in Critically Ill Patients with COVID-19: A Retrospective Cohort Study](https://doi.org/10.21203/rs.3.rs-27386/v1)","Research Square","2020-05-12"
"[Covid-19 mortality is associated with test number and government effectiveness](https://doi.org/10.21203/rs.3.rs-28218/v1)","Research Square","2020-05-12"
"[DOUBLE POWER LAW FOR COVID-19: PREDICTION OF NEW CASES AND DEATH RATES IN ITALY AND SPAIN](https://doi.org/10.1101/2020.05.07.20094714)","medRxiv","2020-05-12"
"[Deep learning models for COVID-19 infected area segmentation in CT images](https://doi.org/10.1101/2020.05.08.20094664)","medRxiv","2020-05-12"
"[Deteriorating Atrioventricular Block in COVID-19 Suspected Patient after Receiving Initial Dose of Azythromycin and Hydroxychloroquine](https://doi.org/10.20944/preprints202005.0190.v1)","Preprints.org","2020-05-12"
"[Development and External Validation of a Prognostic Tool for COVID-19 Critical Disease](https://doi.org/10.1101/2020.05.06.20093435)","medRxiv","2020-05-12"
"[Development of an Android application for viewing Covid-19 containment zones and monitoring violators who are trespassing into it using Firebase and Geofencing](https://doi.org/10.21203/rs.3.rs-28226/v1)","Research Square","2020-05-12"
"[Disinfection effect of pulsed xenon ultraviolet irradiation on SARS-CoV-2 and implications for environmental risk of COVID-19 transmission](https://doi.org/10.1101/2020.05.06.20093658)","medRxiv","2020-05-12"
"[Early Mandated Social Distancing is a Strong Predictor of Reduction in Highest Number of New COVID-19 cases per Day within Various Geographic Regions](https://doi.org/10.1101/2020.05.07.20094607)","medRxiv","2020-05-12"
"[Early detection of severe COVID-19 disease patterns define near real-time personalised care, bioseverity in males, and decelerating mortality rates.](https://doi.org/10.1101/2020.05.08.20088393)","medRxiv","2020-05-12"
"[Early impact of the COVID-19 pandemic and social distancing measures on routine childhood vaccinations in England, January to April 2020](https://doi.org/10.1101/2020.05.07.20094557)","medRxiv","2020-05-12"
"[Effect of underlying comorbidities on the infection and severity of COVID-19 in South Korea](https://doi.org/10.1101/2020.05.08.20095174)","medRxiv","2020-05-12"
"[Efficacy of Chloroquine versus Lopinavir/Ritonavir in mild/general COVID-19: a prospective, open-label, multicenter randomized controlled clinical study](https://doi.org/10.21203/rs.3.rs-16392/v2)","Research Square","2020-05-13"
"[Epidemiological and clinical features of 201 COVID-19 patients in Changsha city, Hunan, China](https://doi.org/10.21203/rs.3.rs-27266/v1)","Research Square","2020-05-12"
"[Epidemiology of CoVID-19 and predictors of recovery in the Republic of Korea](https://doi.org/10.1101/2020.05.07.20094094)","medRxiv","2020-05-12"
"[Estimating pre-symptomatic transmission of COVID-19: a secondary analysis using published data](https://doi.org/10.1101/2020.05.08.20094870)","medRxiv","2020-05-12"
"[Estimation of exponential growth rate and basic reproduction number of the coronavirus disease 2019 (COVID-19) in Africa](https://doi.org/10.21203/rs.3.rs-19916/v2)","Research Square","2020-05-12"
"[Evaluating transmission heterogeneity and super-spreading event of COVID-19 in a metropolis of China](https://doi.org/10.1101/2020.05.06.20073742)","medRxiv","2020-05-12"
"[First month of the epidemic caused by COVID-19 in Italy: current status and real-time outbreak development forecast](https://doi.org/10.21203/rs.3.rs-20456/v2)","Research Square","2020-05-12"
"[Health and Demographic Impact on COVID-19 Infection and Mortality in US Counties](https://doi.org/10.1101/2020.05.06.20093195)","medRxiv","2020-05-12"
"[Higher Alcohol Consumption Is Not Linked To Higher SARS COVID-19 Infection and Death](https://doi.org/10.21203/rs.3.rs-28140/v1)","Research Square","2020-05-12"
"[How many COVID-19 cases could have been prevented in the US if its interventions were as effective as those in China and South Korea?](https://doi.org/10.1101/2020.05.06.20092981)","medRxiv","2020-05-12"
"[How robust are the results of one of the first positive trials exploring hydroxychloroquine for treatment of COVID-19?](https://doi.org/10.1101/2020.05.06.20093237)","medRxiv","2020-05-12"
"[Hydroxychloroquine plus azithromycin: a potential interest in reducing in-hospital morbidity due to COVID-19 pneumonia (HI-ZY-COVID)?](https://doi.org/10.1101/2020.05.05.20088757)","medRxiv","2020-05-12"
"[Identification of pulmonary comorbid diseases network based repurposing effective drugs for COVID-19](https://doi.org/10.21203/rs.3.rs-28148/v1)","Research Square","2020-05-12"
"[Impact on Mobility and Environmental Data of COVID-19 Lockdown on Florence Area](https://doi.org/10.20944/preprints202005.0184.v1)","Preprints.org","2020-05-12"
"[In silico drug designing for COVID-19: an approach of highthroughput virtual screening, molecular and essential dynamics simulations](https://doi.org/10.21203/rs.3.rs-28221/v1)","Research Square","2020-05-12"
"[Low albumin levels are associated with poorer outcomes in a case series of COVID-19 patients in Spain: a retrospective cohort study](https://doi.org/10.1101/2020.05.07.20094987)","medRxiv","2020-05-12"
"[Modelling strategies to predict hospital demand  during the COVID-19 outbreak in Bogota, Colombia](https://doi.org/10.21203/rs.3.rs-23344/v1)","Research Square","2020-05-12"
"[Molecular docking-simulation edge assessment of potential and less-toxic ‘anti- HIV-drug and phyto-flavonoid’ combination against COVID-19](https://doi.org/10.21203/rs.3.rs-28225/v1)","Research Square","2020-05-12"
"[Monitoring the Covid-19 epidemics in Italy from mortality data](https://doi.org/10.1101/2020.05.07.20092775)","medRxiv","2020-05-12"
"[Observer agreement and clinical significance of chest CT reporting in patients suspected of COVID-19](https://doi.org/10.1101/2020.05.07.20094102)","medRxiv","2020-05-12"
"[Pandemic related Health literacy - A Systematic Review of literature in COVID-19, SARS and MERS pandemics](https://doi.org/10.1101/2020.05.07.20094227)","medRxiv","2020-05-12"
"[Predicting the Growth and Trend of COVID-19 Pandemic using Machine Learning and Cloud Computing](https://doi.org/10.1101/2020.05.06.20091900)","medRxiv","2020-05-13"
"[Prediction of the epidemic trends of COVID-19 by the improved dynamic SEIR model](https://doi.org/10.21203/rs.3.rs-28192/v1)","Research Square","2020-05-12"
"[Predictions of COVID-19 dynamics in the UK: short-term forecasting and analysis of potential exit strategies](https://doi.org/10.1101/2020.05.10.20083683)","medRxiv","2020-05-12"
"[Prognostic Model for Mortality of Hospitalized Patients with COVID-19 Pneumonia in Wuhan, China: A Multi-center retrospective cohort study](https://doi.org/10.21203/rs.3.rs-28186/v1)","Research Square","2020-05-12"
"[Psychological morbidities and fatigue in patients with confirmed COVID-19 during disease outbreak: prevalence and associated biopsychosocial risk factors](https://doi.org/10.1101/2020.05.08.20031666)","medRxiv","2020-05-12"
"[Racial and Ethnic Disparities in Population Level Covid-19 Mortality](https://doi.org/10.1101/2020.05.07.20094250)","medRxiv","2020-05-12"
"[Recruiting the innate immune system with GM-CSF to fight viral diseases, including West Nile Virus encephalitis and COVID-19](https://doi.org/10.12688/f1000research.23729.1)","F1000Res","2020-05-12"
"[Relationship between odor intensity estimates and COVID-19 population prediction in a Swedish sample](https://doi.org/10.1101/2020.05.07.20094516)","medRxiv","2020-05-12"
"[Research methodology and characteristics of journal articles with original data, preprint articles and registered clinical trial protocols about COVID-19](https://doi.org/10.21203/rs.3.rs-27061/v1)","Research Square","2020-05-12"
"[Selection of homemade mask materials for preventing transmission of COVID-19: a laboratory study](https://doi.org/10.1101/2020.05.06.20093021)","medRxiv","2020-05-12"
"[Smoking and the risk of COVID-19 infection in the UK Biobank Prospective Study](https://doi.org/10.1101/2020.05.05.20092445)","medRxiv","2020-05-12"
"[Social Distancing is Effective at Mitigating COVID-19 Transmission in the United States](https://doi.org/10.1101/2020.05.07.20092353)","medRxiv","2020-05-12"
"[Spread of Covid-19 in the United States is controlled](https://doi.org/10.1101/2020.05.04.20091272)","medRxiv","2020-05-12"
"[Studying the pathophysiology of coronavirus disease 2019 - a protocol for the Berlin prospective COVID-19 patient cohort (Pa- COVID-19)](https://doi.org/10.1101/2020.05.06.20092833)","medRxiv","2020-05-12"
"[Systemic Inflammation and Clinical Outcomes in COVID-19: a retrospective study](https://doi.org/10.21203/rs.3.rs-27267/v1)","Research Square","2020-05-12"
"[THE COVID-19 FORECAST IN NORTHWEST SYRIA The Imperative of Global Action to Avoid Catastrophe](https://doi.org/10.1101/2020.05.07.20085365)","medRxiv","2020-05-12"
"[The Likely Role of <em>de-Mono-ADP</em><em>-</em><em>ribosylation of</em> STAT1 by the SARS-CoV-2 nsp3 Protein in the Cytokine Storm Syndrome of COVID-19](https://doi.org/10.20944/preprints202005.0198.v1)","Preprints.org","2020-05-14"
"[The first 6 weeks: setting up a UK urgent dental care centre during the COVID-19 pandemic.](https://doi.org/10.1101/2020.05.06.20093179)","medRxiv","2020-05-12"
"[The majority of male patients with COVID-19 present low testosterone levels on admission to Intensive Care in Hamburg, Germany: a retrospective cohort study.](https://doi.org/10.1101/2020.05.07.20073817)","medRxiv","2020-05-12"
"[The ongoing COVID-19 epidemic in Minas Gerais, Brazil: insights from epidemiological data and SARS-CoV-2 whole genome sequencing.](https://doi.org/10.1101/2020.05.05.20091611)","medRxiv","2020-05-12"
"[The timeline and risk factors of clinical progression of COVID-19 in Shenzhen, China](https://doi.org/10.21203/rs.3.rs-22141/v1)","Research Square","2020-05-13"
"[Time-Discrete Parameter Identification Algorithms for Two Deterministic Epidemiological Models applied to the Spread of COVID-19](https://doi.org/10.21203/rs.3.rs-28145/v1)","Research Square","2020-05-12"
"[Time-Resolving the COVID-19 Outbreak using frequency domain analysis](https://doi.org/10.1101/2020.05.07.20094078)","medRxiv","2020-05-12"
"[Transmission dynamics, serial interval and epidemiology of COVID-19 diseases in Hong Kong under different control measures](https://doi.org/10.12688/wellcomeopenres.15896.1)","Wellcome Open Res","2020-05-12"
"[Utility and limitations of Google searches on sensory loss as markers for new COVID-19 cases](https://doi.org/10.1101/2020.05.07.20093955)","medRxiv","2020-05-12"
"[Variations in Personal Protective Equipment Preparedness in Intensive Care Units during the COVID-19 Pandemic: A Survey of Asia-Pacific Countries](https://doi.org/10.1101/2020.05.06.20093724)","medRxiv","2020-05-12"
"[Voices from the frontline: findings from a thematic analysis of a rapid online global survey of maternal and newborn health professionals facing the COVID-19 pandemic](https://doi.org/10.1101/2020.05.08.20093393)","medRxiv","2020-05-12"
"[YouTube as an information source during the Coronavirus disease (COVID-19) pandemic](https://doi.org/10.1101/2020.05.06.20093468)","medRxiv","2020-05-12"
"[A Research on the Results of Viral Nucleic Acid Tests and CT Imaging Variation of Patients with COVID-19](https://doi.org/10.1101/2020.05.08.20037556)","medRxiv","2020-05-13"
"[A two-wave epidemiological model of COVID-19 outbreaks using MS-Excel®](https://doi.org/10.1101/2020.05.08.20095133)","medRxiv","2020-05-13"
